Race,Driver,Stint,Compound,Laps,AvgLapTime
belgian,LEC,1.0,INTERMEDIATE,9,0 days 00:02:09.742888888
belgian,LEC,2.0,MEDIUM,32,0 days 00:01:47.791937500
belgian,NOR,1.0,INTERMEDIATE,10,0 days 00:02:07.405100
belgian,NOR,2.0,HARD,31,0 days 00:01:47.204483870
belgian,OCO,1.0,INTERMEDIATE,10,0 days 00:02:12.112400
belgian,OCO,2.0,MEDIUM,31,0 days 00:01:48.717967741
belgian,PIA,1.0,INTERMEDIATE,9,0 days 00:02:08.360222222
belgian,PIA,2.0,MEDIUM,32,0 days 00:01:47.478812500
belgian,RUS,1.0,INTERMEDIATE,9,0 days 00:02:10.686444444
belgian,RUS,2.0,MEDIUM,32,0 days 00:01:48.105656250
belgian,SAI,1.0,INTERMEDIATE,9,0 days 00:02:14.186666666
belgian,SAI,2.0,MEDIUM,14,0 days 00:01:51.184857142
belgian,SAI,3.0,HARD,18,0 days 00:01:47.727944444
belgian,STR,1.0,INTERMEDIATE,9,0 days 00:02:14.317888888
belgian,STR,2.0,MEDIUM,32,0 days 00:01:48.768843750
belgian,TSU,1.0,INTERMEDIATE,10,0 days 00:02:10.561600
belgian,TSU,2.0,MEDIUM,31,0 days 00:01:48.769161290
belgian,VER,1.0,INTERMEDIATE,9,0 days 00:02:09.946222222
belgian,VER,2.0,MEDIUM,32,0 days 00:01:47.823531250
british,ALB,1.0,INTERMEDIATE,12,0 days 00:01:57.359250
british,ALB,2.0,INTERMEDIATE,25,0 days 00:01:49.299920
british,ALB,3.0,MEDIUM,10,0 days 00:01:34.918500
british,ALO,1.0,INTERMEDIATE,11,0 days 00:01:57.428090909
british,ALO,2.0,INTERMEDIATE,21,0 days 00:01:50.801714285
british,ALO,3.0,MEDIUM,15,0 days 00:01:38.012800
british,ANT,1.0,INTERMEDIATE,2,0 days 00:02:02.421000
british,ANT,2.0,HARD,6,0 days 00:01:55.508333333
british,ANT,3.0,INTERMEDIATE,7,0 days 00:02:04.493714285
british,ANT,4.0,INTERMEDIATE,2,0 days 00:01:56.100500
british,BEA,1.0,HARD,10,0 days 00:02:00.124800
british,BEA,2.0,INTERMEDIATE,26,0 days 00:01:49.476038461
british,BEA,3.0,MEDIUM,11,0 days 00:01:36.110636363
british,BOR,1.0,MEDIUM,3,0 days 00:02:16.367666666
british,GAS,1.0,INTERMEDIATE,11,0 days 00:01:57.334000
british,GAS,2.0,INTERMEDIATE,25,0 days 00:01:49.305680
british,GAS,3.0,MEDIUM,11,0 days 00:01:35.930272727
british,HAD,1.0,MEDIUM,10,0 days 00:01:59.892400
british,HAD,2.0,INTERMEDIATE,5,0 days 00:02:06.310000
british,HAM,1.0,INTERMEDIATE,11,0 days 00:01:57.221909090
british,HAM,2.0,INTERMEDIATE,25,0 days 00:01:48.647080
british,HAM,3.0,SOFT,11,0 days 00:01:35.804636363
british,HUL,1.0,INTERMEDIATE,9,0 days 00:01:59.704111111
british,HUL,2.0,INTERMEDIATE,27,0 days 00:01:46.431740740
british,HUL,3.0,MEDIUM,10,0 days 00:01:35.119200
british,LEC,1.0,MEDIUM,10,0 days 00:01:59.338300
british,LEC,2.0,INTERMEDIATE,27,0 days 00:01:49.154074074
british,LEC,3.0,SOFT,10,0 days 00:01:37.350700
british,NOR,1.0,INTERMEDIATE,11,0 days 00:01:56.289181818
british,NOR,2.0,INTERMEDIATE,27,0 days 00:01:44.647185185
british,NOR,3.0,MEDIUM,8,0 days 00:01:33.826125
british,OCO,1.0,INTERMEDIATE,16,0 days 00:02:01.457875
british,OCO,2.0,INTERMEDIATE,21,0 days 00:01:44.166952380
british,OCO,3.0,MEDIUM,10,0 days 00:01:35.977600
british,PIA,1.0,INTERMEDIATE,11,0 days 00:01:55.595454545
british,PIA,2.0,INTERMEDIATE,26,0 days 00:01:44.422000
british,PIA,3.0,MEDIUM,9,0 days 00:01:35.464111111
british,RUS,1.0,HARD,10,0 days 00:01:58.714500
british,RUS,2.0,INTERMEDIATE,23,0 days 00:01:50.065304347
british,RUS,3.0,HARD,14,0 days 00:01:38.101785714
british,SAI,1.0,INTERMEDIATE,11,0 days 00:01:57.570727272
british,SAI,2.0,INTERMEDIATE,25,0 days 00:01:49.857040
british,SAI,3.0,MEDIUM,11,0 days 00:01:36.637636363
british,STR,1.0,INTERMEDIATE,6,0 days 00:02:03.369666666
british,STR,2.0,SOFT,4,0 days 00:01:50.199000
british,STR,3.0,INTERMEDIATE,25,0 days 00:01:47.211240
british,STR,4.0,SOFT,11,0 days 00:01:36.542909090
british,TSU,1.0,INTERMEDIATE,11,0 days 00:01:58.243818181
british,TSU,2.0,INTERMEDIATE,25,0 days 00:01:50.750840
british,TSU,3.0,MEDIUM,10,0 days 00:01:39.315800
british,VER,1.0,INTERMEDIATE,11,0 days 00:01:56.416090909
british,VER,2.0,INTERMEDIATE,24,0 days 00:01:46.994041666
british,VER,3.0,MEDIUM,11,0 days 00:01:35.868272727
canadian,ALB,1.0,MEDIUM,23,0 days 00:01:19.456869565
canadian,ALB,2.0,HARD,23,0 days 00:01:17.198782608
canadian,ALO,1.0,MEDIUM,15,0 days 00:01:19.137200
canadian,ALO,2.0,HARD,35,0 days 00:01:17.316857142
canadian,ALO,3.0,HARD,16,0 days 00:01:17.110250
canadian,ALO,4.0,HARD,1,0 days 00:01:53.748000
canadian,ALO,5.0,HARD,1,0 days 00:01:39.322000
canadian,ALO,6.0,HARD,1,0 days 00:01:36.570000
canadian,ALO,7.0,HARD,1,0 days 00:01:27.108000
canadian,ANT,1.0,MEDIUM,14,0 days 00:01:18.240857142
canadian,ANT,2.0,HARD,24,0 days 00:01:16.592208333
canadian,ANT,3.0,HARD,29,0 days 00:01:16.094379310
canadian,ANT,4.0,HARD,1,0 days 00:02:03.303000
canadian,ANT,5.0,HARD,1,0 days 00:02:03.706000
canadian,ANT,6.0,HARD,1,0 days 00:02:06.371000
canadian,BEA,1.0,MEDIUM,18,0 days 00:01:19.646444444
canadian,BEA,2.0,HARD,48,0 days 00:01:17.846812500
canadian,BEA,3.0,SOFT,1,0 days 00:01:56.832000
canadian,BEA,4.0,SOFT,1,0 days 00:01:47.065000
canadian,BEA,5.0,SOFT,1,0 days 00:02:02.225000
canadian,BOR,1.0,HARD,49,0 days 00:01:18.385204081
canadian,BOR,2.0,MEDIUM,17,0 days 00:01:18.541823529
canadian,BOR,3.0,MEDIUM,1,0 days 00:01:57.562000
canadian,BOR,4.0,MEDIUM,1,0 days 00:01:46.030000
canadian,BOR,5.0,MEDIUM,1,0 days 00:02:00.889000
canadian,COL,1.0,MEDIUM,14,0 days 00:01:19.704928571
canadian,COL,2.0,HARD,52,0 days 00:01:18.063384615
canadian,COL,3.0,HARD,1,0 days 00:01:56.920000
canadian,COL,4.0,HARD,1,0 days 00:01:45.834000
canadian,COL,5.0,HARD,1,0 days 00:02:01.787000
canadian,GAS,1.0,HARD,53,0 days 00:01:18.344886792
canadian,GAS,2.0,MEDIUM,13,0 days 00:01:19.018615384
canadian,GAS,3.0,MEDIUM,1,0 days 00:01:55.427000
canadian,GAS,4.0,MEDIUM,1,0 days 00:01:46.730000
canadian,GAS,5.0,MEDIUM,1,0 days 00:01:58.960000
canadian,HAD,1.0,MEDIUM,13,0 days 00:01:20.127076923
canadian,HAD,2.0,HARD,53,0 days 00:01:18.190792452
canadian,HAD,3.0,SOFT,1,0 days 00:01:55.651000
canadian,HAD,4.0,SOFT,1,0 days 00:01:42.898000
canadian,HAD,5.0,SOFT,1,0 days 00:01:57.112000
canadian,HAM,1.0,MEDIUM,15,0 days 00:01:18.593266666
canadian,HAM,2.0,HARD,30,0 days 00:01:17.019666666
