Race,Driver,Compound,Stint,StintLength,AvgPace,FirstThreeAvg,LastThreeAvg,PaceDropoff,DegradationRate
azerbaijan,NOR,MEDIUM,1.0,34,107.3316176470588,120.06666666666666,106.193,-13.873666666666665,-0.40804901960784307
azerbaijan,NOR,HARD,2.0,14,106.10600000000001,111.002,104.68433333333333,-6.317666666666668,-0.4512619047619048
azerbaijan,OCO,HARD,3.0,47,107.12236170212766,111.25533333333333,105.512,-5.743333333333325,-0.12219858156028351
azerbaijan,RUS,HARD,1.0,36,106.7581388888889,117.47233333333334,105.84066666666666,-11.631666666666675,-0.3231018518518521
azerbaijan,RUS,MEDIUM,2.0,12,105.55183333333332,109.56066666666668,104.44166666666666,-5.119000000000014,-0.4265833333333345
azerbaijan,SAI,MEDIUM,1.0,24,107.39629166666667,115.04333333333334,107.02999999999999,-8.01333333333335,-0.33388888888888957
azerbaijan,SAI,HARD,2.0,24,105.52579166666668,111.02533333333334,104.41733333333333,-6.608000000000004,-0.2753333333333335
azerbaijan,STR,MEDIUM,1.0,34,108.87735294117648,123.47200000000002,108.12866666666667,-15.343333333333348,-0.451274509803922
azerbaijan,STR,HARD,2.0,14,107.16528571428572,112.26233333333334,106.32100000000001,-5.941333333333333,-0.42438095238095236
azerbaijan,TSU,HARD,1.0,35,107.16702857142856,118.45733333333334,106.28533333333333,-12.172000000000011,-0.3477714285714289
azerbaijan,TSU,MEDIUM,2.0,13,106.264,110.932,104.71833333333332,-6.213666666666683,-0.4779743589743602
azerbaijan,VER,HARD,1.0,37,106.22791891891892,114.48766666666667,106.15966666666668,-8.327999999999989,-0.22508108108108077
azerbaijan,VER,MEDIUM,2.0,11,105.48981818181818,109.66066666666666,104.493,-5.167666666666662,-0.46978787878787837
bahrain,ALB,SOFT,1.0,16,100.343,101.71633333333334,101.17633333333333,-0.5400000000000063,-0.03375000000000039
bahrain,ALB,HARD,2.0,16,101.539,105.00333333333333,108.84633333333333,3.8430000000000035,0.24018750000000022
bahrain,ALB,MEDIUM,3.0,24,100.29316666666666,115.731,99.23333333333333,-16.49766666666666,-0.6874027777777775
bahrain,ALO,MEDIUM,1.0,16,100.6806875,102.10566666666666,101.553,-0.5526666666666671,-0.03454166666666669
bahrain,ALO,MEDIUM,2.0,16,101.6550625,104.79433333333333,108.33966666666667,3.545333333333346,0.22158333333333413
bahrain,ALO,HARD,3.0,24,100.44566666666667,114.254,98.904,-15.350000000000009,-0.6395833333333337
bahrain,ANT,SOFT,1.0,12,99.53858333333334,99.99233333333335,100.33999999999999,0.34766666666664037,0.02897222222222003
bahrain,ANT,MEDIUM,2.0,15,100.33980000000001,105.28066666666666,100.23,-5.0506666666666575,-0.3367111111111105
bahrain,ANT,SOFT,4.0,24,100.07904166666667,114.71600000000001,99.16000000000001,-15.555999999999997,-0.6481666666666666
bahrain,BEA,SOFT,1.0,14,100.44307142857143,102.24166666666667,100.849,-1.3926666666666705,-0.09947619047619075
bahrain,BEA,HARD,2.0,18,101.35700000000001,104.39033333333333,108.51166666666666,4.121333333333325,0.2289629629629625
bahrain,BEA,SOFT,3.0,25,102.256,132.84866666666667,99.185,-33.66366666666667,-1.3465466666666668
bahrain,BOR,MEDIUM,1.0,13,101.16146153846154,103.21900000000001,101.38133333333333,-1.8376666666666779,-0.1413589743589752
